06 51 00443 8|STE AGRO TUNIS|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00496 9|FOUR SIZE CONSULTING|4.00|3.50|1.50|4.00|4.00|OUI||
06 51 00501 9|TRIO INTERNATIONAL TRADING|4.00|3.50|1.50|4.00|4.00|OUI||
06 59 00015 6|SINO VOG|4.00|3.50|1.50|4.00|4.00|OUI||
06 59 00049 0|STE ARAB EXPORT COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
06 59 00050 4|STE ARAB EXPORT COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
08 10 00020 1|STE AFRICA EUROPE CONFECTION|4.00|3.50|1.50|4.00|4.00|OUI||
08 10 00055 4|W I C|4.00|3.50|1.50|4.00|4.00|OUI||
08 10 00113 5|STE P M P|4.00|3.50|1.50|4.00|4.00|OUI||
08 50 00019 0||4.00|3.50|1.50|4.00|4.00|OUI||
08 51 00026 7||4.00|3.50|1.50|4.00|4.00|OUI||
08 59 00001 0|STE AFRICA ERPOE CONFECTION|4.00|3.50|1.50|4.00|4.00|OUI||
08 59 00005 3|ELISSA FASHION WEAR|1.50|3.50|1.50|1.50|1.50|OUI||
08 59 00006 1|P M P|4.00|3.50|1.50|4.00|4.00|OUI||
08 63 00004 1||4.00|3.50|1.50|4.00|4.00|OUI||
09 10 00440 9|STE CTRA|4.00|3.50|1.50|4.00|4.00|OUI||
09 50 00122 4|STE UNITED GROUP TEX-TUNISIE|4.00|3.50|1.50|4.00|4.00|OUI||
09 51 00124 4|CTRA INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
09 53 00001 6|CTRA INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
09 59 00006 9|CTRA INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
12 10 00368 8|SOKECO SARL|4.00|3.50|1.50|.00|4.00|OUI||
12 10 00654 7|FIMCO|4.00|3.50|1.50|4.00|4.00|OUI||
12 10 00724 1|STE FINCO INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
12 10 00738 1|STE FIMA|4.00|3.50|1.50|4.00|4.00|OUI||
12 10 00739 0|DEM COSTRUCT|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00009 6|STE C I T G I|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00016 9|STE DEMCO|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00027 4|DEMCOTEX|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00050 9|STE B D S|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00071 1|STE DEMCO INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00095 9|TEXTU KNITS|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00115 7|DEM COSTRUCT|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00120 3|D E S|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00122 0|DEMCOTEX|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00124 6|DEM CO KNITWEAR|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00127 0|STE FIMA|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00129 7|APPERAL WORK|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00135 1|STE CAP TUNIS|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00136 0|STE CAP TUNIS|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00146 7|SOCIETE DEMCOINTER|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00147 5|SOCIETE NEW AMICO|4.00|3.50|1.50|4.00|4.00|OUI||
12 50 00151 3|SOCIETE ALLSPORT|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00002 2|STE DEMCO|1.00|1.00|1.50|1.00|1.00|OUI||
12 51 00003 0|STE C I T G I|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00005 7|STE DEMCO|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00030 8|STE B D S|4.00|3.50|1.50|.00|4.00|OUI||
12 51 00031 6|DEMCO|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00041 3|S T G DEMCO INTERNATIONAL|1.00|1.00|1.50|1.00|1.00|OUI||
12 51 00075 8|DEM COSTRUCT|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00082 0|D E S|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00089 8|DEMCO KNITWEAR|1.00|1.00|1.50|1.00|1.00|OUI||
12 51 00090 1|TEXTU KNITS|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00093 6|STE FIMA|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00102 9|APPERAL WORK|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00104 5|DEMCOTEX|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00114 2|STE CAP TUNIS|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00140 1|STE BDS|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00142 8|STE DES SARL|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00162 2|SOCIETE DEMCOINTER|1.00|1.00|1.50|1.00|1.00|OUI||
12 51 00165 7|SOCIETE NEW AMICO|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00168 1|DEMCO|1.00|1.00|1.50|1.00|1.00|OUI||
12 51 00173 8|SOCIETE DEMCOINTER|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00174 6|SOCIETE ALLSPORT|4.00|3.50|1.50|4.00|4.00|OUI||
12 51 00183 5|STE C I T G I|4.00|3.50|1.50|4.00|4.00|OUI||
12 59 00007 2|SO.KE.CO .S.U.A.R.L.|4.00|3.50|1.50|4.00|4.00|OUI||
12 59 00012 9|FIMCO|4.00|3.50|1.50|4.00|4.00|OUI||
12 59 00027 7|STE FINCO INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00011 7|STE C I T G I|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00012 5|STE BDS|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00013 3|DE.M.CO KNITWEAR|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00014 1|STE DES SARL|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00015 0|SOCIETE DEMCO|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00016 8|DENTRI KNIT S  EX TEXTU KNIT S|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00017 6||4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00018 4|DEMCOTEX|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00021 4|J.S.COM|4.00|3.50|1.50|4.00|4.00|OUI||
12 63 00022 2|SOCIETE DEMCOINTER|4.00|3.50|1.50|4.00|4.00|OUI||
12 65 00001 7|B D S|4.00|3.50|1.50|4.00|4.00|OUI||
12 65 00002 5|SOCIETE DEMCO|2.00|3.50|1.50|2.00|2.00|OUI||
12 65 00003 3|J.S COM|1.00|1.00|1.50|1.00|1.00|OUI||
12 65 00004 1|DEMCO KNITWEAR|1.00|1.00|1.50|1.00|1.00|OUI||
12 65 00007 6|SOCIETE DEMCOINTER|4.00|3.50|1.50|4.00|4.00|OUI||
13 10 00072 4||4.00|3.50|1.50|4.00|4.00|OUI||
13 10 00883 0|AXONE|4.00|3.50|1.50|4.00|4.00|OUI||
13 59 00045 2||4.00|3.50|1.50|4.00|4.00|OUI||
13 59 00049 5|SOCIETE AXONE|4.00|3.50|1.50|4.00|4.00|OUI||
15 10 00163 6|STE DE CONFECTION TAIB|4.00|3.50|1.50|4.00|4.00|OUI||
15 10 00485 6|SOTUDEX|4.00|3.50|1.50|4.00|4.00|OUI||
15 10 00569 0|E P P M|.50|1.00|1.50|.50|.50|OUI||
15 10 00797 9|TF PRODUCTION|4.00|3.50|1.50|4.00|4.00|OUI||
15 10 00809 6|CONNECT SARL|4.00|3.50|1.50|4.00|4.00|OUI||
15 10 00935 1|INTERNATIONAL PROCESS CONCEPT|4.00|3.50|1.50|4.00|4.00|OUI||
15 10 01126 7|TMS CONSULTING|4.00|3.50|1.50|4.00|4.00|OUI||
15 50 00135 3|STE TUNISO FRANCAISE HABILLEME|.50|3.50|1.50|4.00|4.00|OUI||
15 50 00180 9|PIONNER NATURAL RESSOURCES|1.00|1.00|1.50|1.00|1.00|OUI||
15 50 00224 4|T A D I S TUNIS SA|4.00|3.50|1.50|4.00|4.00|OUI||
15 50 00290 2|MAGHREB POLYSERVICE EXPORT MPS|4.00|3.50|1.50|4.00|4.00|OUI||
15 50 00352 6|STE JRM INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
15 50 00382 8|STE DE COMMERCE ET D EXPLOITAT|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00134 9|STA TUNISO FRANCAISE HABILLEME|.50|3.50|1.50|4.00|4.00|OUI||
15 51 00188 8|PIONNER NATURAL RESSOURCES|1.00|1.00|1.50|1.00|1.00|OUI||
15 51 00382 1|STE N A T I|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00439 9|STE N A T I|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00440 2|T A D I S TUNIS SA|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00490 9|MAGHREB POLYSERVICE EXPORT MPS|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00513 1|STE JRM INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00590 5|SOCIETE ATACS|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00668 5|OMV ANAGUILD LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00669 3|OMV SOUTH TUNISIA LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00732 0|STE DE COMMERCE ET D EXPLOITAT|4.00|3.50|1.50|4.00|4.00|OUI||
15 51 00733 9|STE DE COMMERCE ET D EXPLOITAT|4.00|3.50|1.50|4.00|4.00|OUI||
15 59 00041 4|CONNECT SARL|4.00|3.50|1.50|4.00|4.00|OUI||
15 59 00064 3|SOTUDEX|4.00|3.50|1.50|4.00|4.00|OUI||
15 59 00065 1|INTERNATIONAL PROCESS CONCEPT|4.00|3.50|1.50|4.00|4.00|OUI||
15 59 00079 1|TF PRODUCTION|4.00|3.50|1.50|4.00|4.00|OUI||
15 59 00086 4|TMS CONSULTING|4.00|3.50|1.50|4.00|4.00|OUI||
15 62 00018 2|OMV SOUTH TUNISIA LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 62 00019 0|OMV ANAGUILD LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 62 00021 2|PIONNER NATURAL RESSOURCES|1.00|1.00|1.50|1.00|1.00|OUI||
15 62 00031 0|OMV SOUTH TUNISIA LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 62 00033 6|OMV SOUTH TUNISIA LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 62 00037 9|OMV ANAGUILD LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 63 00018 6|TUNISO FRANCAISE D HABILLEMENT|4.00|3.50|1.50|4.00|4.00|OUI||
15 65 00001 9|T F H|4.00|3.50|1.50|4.00|4.00|OUI||
15 65 00002 7|OMV SOUTH TUNISIA LTD|4.00|3.50|1.50|4.00|4.00|OUI||
15 65 00003 5|OMV ANAGUILD LTD|4.00|3.50|1.50|4.00|4.00|OUI||
16 10 00608 2|SOTICO|4.00|3.50|1.50|4.00|4.00|OUI||
16 10 00780 1|CONFEX|4.00|.25|1.50|4.00|4.00|OUI||
16 10 00823 9|STE SAREM|.25|.25|1.50|4.00|4.00|OUI||
16 10 00926 0|STE SOTICO GROUP DEP COMMERC|4.00|3.50|1.50|4.00|4.00|OUI||
16 10 01016 0|METAL TRADING|.25|.25|1.50|.25|.25|OUI||
16 50 00005 2|SEMIT|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00129 6|M G T|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00182 2|OMERIN DIVISION|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00310 8|AB PACKAGING|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00317 5|RIBS INTER|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00345 0|TUNISIE DEVELOPPEMENT ASSIST|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00381 7|STE SOMECAL|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00457 0|STE MIT|4.00|3.50|1.50|4.00|4.00|OUI||
16 50 00460 0|STE RMC|4.00|3.50|1.50|4.00|4.00|OUI||
